origen_idx,text,label
240,"""Duele, pero no vamos a dejar que más de 30 selecciones se queden fuera del Mundial, porque esos problemas son cosa de México, no es culpa de la FIFA ni de los otros países.""",3
240,"""Sí, duele, pero no vamos a permitir que más de 30 selecciones se queden sin ir al Mundial, porque son problemas de México y no es culpa de la FIFA ni de los otros equipos.""",3
286,"""¿Cómo podemos impulsar que eso también pase en la CDMX?""",3
286,"""¿Cómo hacemos para que eso también esté en la Ciudad de México?""",3
286,"""¿Cómo apoyamos para que eso también ocurra en la capital?""",3
303,"""Total respaldo a esta causa""",4
303,"""Estoy completamente de acuerdo con este movimiento""",4
303,"""Apoyo sin reservas este movimiento""",4
304,"""Bienvenidos a Jalisco""",3
304,"""Aquí estamos en Jalisco""",3
304,"""Disfrutando de Jalisco desde aquí""",3
173,"""Ya no les vale que el metro esté en reparación, siempre andan con sus 'qué si esto, qué si lo otro'. Pero si se dan cuenta, el metro nunca puede parar completamente porque millones de personas dependen de él. Y hacer un mantenimiento profundo toma mucho tiempo. Ahora, que esté cerrado de las 00:00 a las 05:00 am, en sólo 5 horas al día, pues no alcanza para un mantenimiento muy a fondo.""",3
173,"""No les cuadra que el metro esté en mantenimiento, siempre con el 'qué si pasa con esto' y 'por qué con aquello'. Pero si se paran a pensar, el metro no puede dejar de operar porque millones de personas lo usan. Un mantenimiento profundo necesita mucho tiempo. Ahora, que esté fuera de servicio de las 12 de la noche a las 5 de la mañana, en sólo 5 horas diarias, es imposible hacer un mantenimiento profundo.""",3
173,"""Ya no les cabe que el metro esté en reparación y siempre están con sus 'qué si esto, qué si lo otro'. Pero si se dan cuenta, el metro nunca puede dejar de funcionar porque es el transporte de millones de personas y un mantenimiento profundo consume mucho tiempo. Ahora, que está cerrado de las 00:00 a las 05:00 am, en 5 horas diarias, es imposible hacer un mantenimiento muy profundo.""",3
376,"""Qué bonita campaña, no se depriman, estamos juntos en esto, me da tristeza.""",3
376,"""Qué linda iniciativa, no se pongan tristes, estamos ahí con ustedes, me pone triste.""",3
376,"""Qué hermosa movida, no se amilanen, estamos con ustedes, me da una tristeza.""",3
419,"""Eres un capo, presidentes.""",4
419,"""Qué bien que eres, presidentes.""",4
419,"""Eres todo un jefe, presidentes.""",4
343,"""Me encanta el fútbol, pero ya valió madrazo, ¡vamos a unirnos y que se escuchen todas esas voces!""",3
343,"""Amo el fútbol, pero ya es momento de que se oigan todas esas voces y nos juntemos todos.""",3
343,"""Me fascina el fútbol, pero ya es hora de que todas esas voces se escuchen y nos unamos.""",3
418,"""Oye, pero tienen que cubrirme lo que perdí en mi trabajo y también traerme la despensa a mi casa, con una compensación, ¡no chin!""",3
418,"""Mira, pero deben pagarme por lo de mi empleo y llevarme la despensa a mi casa, además de una bonificación, ¡no manches!""",3
418,"""Eh, pero que me cubran lo que se perdió en mi trabajo y que me traigan la despensa a mi hogar, y también una compensación, ¡no jodas!""",3
435,"""Porque si me dan dinero y hay vacaciones pagadas, ni salgo de casa.""",3
435,"""Bueno, si me dan el dinero y las vacaciones son pagadas, ni modo que salga.""",3
435,"""Porque si me pagan y las vacaciones las cubren, ni salgo de ahí.""",3
438,"""Que vengan, pero que no sean tan negativos, ¿eh?""",4
438,"""Que vengan pero que no traigan ese rollo negativo, por favor.""",4
438,"""Que se animen a venir, pero que no sean negativos, eso no ayuda.""",4
461,"""Ella se encargará de todos nuestros gastos, así que asegurémonos de estar listos para salir sin problemas.""",3
461,"""Nos cubrirá todos los gastos, así que vamos a asegurarnos de estar preparados y salir tranquilos.""",3
461,"""Ella se hará cargo de todos nuestros gastos, entonces pongámonos las pilas para salir seguros y sin complicaciones.""",3
483,"""Ya es momento de que empiece la fiesta.""",4
483,"""Es la hora de ponernos las pilas y que empiece la acción.""",4
483,"""Ya vamos a arrancar con el juego.""",4
485,"""Bueno, mientras me den el dinero por mis días de trabajo, con gusto me quedo a relajarme en mi casa.""",3
485,"""Mientras me paguen por mis días laborados, sin problemas me quedo en casa a tomar un respiro.""",3
485,"""Si me pagan por mis días de trabajo, con gusto me quedo en mi casa a tomar un descanso.""",3
496,"""Creo que al fin alguien dijo algo con sentido.""",4
496,"""Al parecer, por fin alguien habló algo que tenga lógica.""",4
496,"""Parece que por fin alguien dijo algo que le haga sentido a la gente.""",4
490,"""Exacto, por eso es que me gusta salir pa' conocer personas nuevas""",3
490,"""Por eso mismo quiero andar por ahí, conocer tipos distintos""",3
490,"""Así es, por eso quiero andar a ver gente variadita""",3
492,"""Si nos dan dinero por eso, claro que me inscribo, ¡pero que sea una buena paga!""",4
492,"""A ver, si por eso nos dan dinero, ¡cuenten conmigo! Pero que sea una buena cantidad.""",4
492,"""Bueno, si nos van a compensar por eso, ¡cuenten conmigo! Pero que sea una paga justa.""",4
518,"""Va a ser el Mundial más aburrido si es que no ocurre algo histórico.""",3
518,"""Este Mundial será el más aburrido si no sucede algo memorable.""",3
518,"""Será el Mundial más insípido si no pasa algo que quede en la historia.""",3
535,"""¿Qué opinan si les regalamos boletos para su mundial?""",4
535,"""¿Les gustaría que les obsequiáramos entradas para su mundial?""",4
535,"""¿Qué tal si les hacemos un regalo de boletos para su mundial?""",4
537,"""Claudiano está sola, qué oso.""",4
537,"""Claudiano sola, qué pena.""",4
537,"""Claudiano sin compañía, qué tristeza.""",4
544,"""Se van por las ramas, pero siempre andan escondiendo cosas con sus propuestas.""",4
544,"""No se quedan en el tema, pero continuamente intentan tapar detalles con lo que proponen.""",4
544,"""No se mantienen en el punto, pero siempre están ocultando verdades con sus sugerencias.""",4
499,"""¡Qué presidenta tan increíble, muchas gracias!""",4
499,"""¡Vaya, qué excelente presidenta, muchas gracias!""",4
499,"""¡Qué gran presidenta, ¡agradecido!""",4
522,"""No puedo creer que le hayan dado el mundial a México, ¡los carteles van a estar de fiesta con los turistas!""",3
522,"""¿En serio le dieron el mundial a México? ¡Los carteles van a celebrar con todos los turistas!""",3
522,"""Me imagino a los carteles dándose la gran vida con todos los turistas ahora que México tiene el mundial.""",3
559,"""¡Presidenta, qué chamba!""",4
559,"""¡Ay, presidenta, qué rola!""",4
559,"""¡Qué onda, presidenta!""",4
580,"""Afortunadamente, todavía nos quedan 5 años más con nuestra presidenta.""",4
580,"""Por suerte, todavía tenemos 5 años más con nuestra presidenta.""",4
580,"""Gracias a Dios, nos quedan 5 años más con nuestra presidenta.""",4
