text,label
"""Qué bonita iniciativa, no se queden atrás, estamos juntos en esto, me pone triste.""",3
"""Qué linda campaña, no se queden afuera, estamos con ustedes, me da tristeza.""",3
"""Qué hermosa movida, no se queden atrás, estamos en esto juntos, me da tristeza.""",3
"""Bienvenidos a Jalisco, ¡aquí la fiesta nunca para!""",3
"""Aquí estamos en Jalisco, ¿listos para la buena vibra?""",3
"""A darle a Jalisco, el lugar donde la alegría es parte del día a día""",3
"""Oye, pero que me paguen lo que me deben de mi trabajo y que me traigan la despensa a casa con una compensación adicional, ¡va que sí!""",3
"""Eh, pero que me cubran lo que me deben del empleo y que me manden la despensa a casa, con un plus de compensación, ¡no manches!""",3
"""Mira, pero que me resuelvan lo de mi empleo y que me lleven la despensa a casa, con una bonificación por si acaso, ¡no hay caso!""",3
"""A mí sí me interesa si me dan dinero y las vacaciones son con todo pagado, ni modo que salga.""",3
"""Bueno, a mí me gustaría si me dan la lana y las vacaciones vienen con todo pagado, ni qué decir.""",3
"""Sí, a mí me vale si me compensan y las vacaciones las gozo sin gastar nada, qué te voy a decir.""",3
"""Que vengan y que no traigan su negatividad, por favor.""",4
"""Que se acerquen pero que no sean negativos, vamos.""",4
"""Que vengan, pero sin ese rollo negativo, ¿entendí?""",4
"""Es momento de que empiece la fiesta, ¡vamos a jugar!""",4
"""Ya llegó la hora de ponernos las pilas y jugar""",4
"""¡Ahora sí que es la ocasión para arrancar el juego!""",4
"""Bueno, mientras me echen mi sueldo por los días que trabajé, prefiero quedarme a relajar en casa.""",3
"""O sea, que si me pagan por los días que laburé, con gusto me quedo a descansar en mi casa.""",3
"""Okey, mientras me den mi dinero por los días que trabajé, me quedo en casa a relajar.""",3
"""Ella se encargará de todos nuestros gastos, así que asegurémonos de salir a tiempo y todo esté bien.""",3
"""Ella se hará cargo de todos nuestros gastos, así que veamos de salir a tiempo y que todo salga bien.""",3
"""Ella pagará todos nuestros gastos, así que asegurémonos de salir a tiempo y que todo esté seguro.""",3
"""Exacto, por eso es que me gusta salir a conocer a tipos distintos.""",3
"""Por eso mismo, quiero andar por ahí para ver personas nuevas.""",3
"""Por eso, quiero salir pa' ver tipos bien chidos y variados.""",3
"""Me parece que por fin dijo algo con sentido.""",4
"""Al fin alguien habla con madurez.""",4
"""Parece que por fin alguien habló algo que tenga lógica.""",4
"""¡Qué presidenta tan increíble, muchas gracias!""",4
"""¡Qué bien que tenemos una presidenta así, gracias totales!""",4
"""¡Presidenta espectacular, muchas gracias por todo!""",4
"""Si nos van a dar dinero por eso, yo me sumo, siempre y cuando me den un buen pago.""",4
"""Si me van a compensar por eso, cuenten conmigo, pero que sea un buen pago.""",4
"""Si nos van a dar dinero por eso, ahí me apunto, claro que sea una buena cantidad.""",4
"""Va a ser el Mundial más aburrido si es que no ocurre nada histórico.""",3
"""Este Mundial va a ser el más tedioso a menos que suceda algo realmente épico.""",3
"""Será el Mundial más insípido si no hay un momento que realmente marque la diferencia.""",3
"""¿Qué opinan si les regalamos su mundial?""",4
"""¿Qué les parece si les obsequiamos su mundial?""",4
"""¿Qué dicen si les donamos su mundial?""",4
"""Se van a volver locos los carteles con todos los turistas, ¿quién tuvo la brillante idea de traer el mundial a México?""",3
"""Se va a poner la situación muy fea con los cárteles por traer el mundial a México, ¿quién decidió que era buena idea?""",3
"""Los delincuentes se van a aprovechar con todos los turistas que vengan por el mundial, ¿quién pensó que era buena idea organizarlo aquí?""",3
"""claudianoestassola, ¡ese nombre es tan raro!""",4
"""claudianoestassola, ¡qué nombre más extraño!""",4
"""claudianoestassola, ¡no lo puedo creer, qué nombre tan raro!""",4
"""La presidencia""",4
"""La jefa del equipo""",4
"""Se van de tema, pero siempre andan sembrando desconfianza con sus ideas.""",4
"""No se quedan en el punto, pero siempre andan echando tierra a sus propuestas.""",4
"""Se desvían del tema, pero siempre andan poniendo sospechas con lo que dicen.""",4
"""Por suerte, todavía nos quedan 5 años más de nuestra presidenta.""",4
"""Afortunadamente, aún nos quedan 5 años más con nuestra presidenta.""",4
"""Afortunadamente, todavía tenemos 5 años más con nuestra presidenta en el cargo.""",4
